Running as user "root" and group "root". This could be dangerous.
frame.time_relative,ip.src,ip.dst,frame.len,tcp.seq,tcp.ack,udp.length
14.421750000,172.20.0.3,172.20.0.2,1514,,,
14.421750000,172.20.0.3,172.20.0.2,1228,,,
14.421750000,172.20.0.3,172.20.0.2,1514,,,
14.421751000,172.20.0.3,172.20.0.2,1514,,,
14.421751000,172.20.0.3,172.20.0.2,1228,,,4154
14.421751000,172.20.0.3,172.20.0.2,1514,,,
14.421751000,172.20.0.3,172.20.0.2,1514,,,
14.421751000,172.20.0.3,172.20.0.2,1228,,,4154
14.421787000,172.20.0.2,172.20.0.3,92,,,58
14.421817000,172.20.0.2,172.20.0.3,92,,,58
14.421835000,172.20.0.2,172.20.0.3,92,,,58
14.421852000,172.20.0.2,172.20.0.3,92,,,58
14.421868000,172.20.0.2,172.20.0.3,92,,,58
16.430751000,172.20.0.3,172.20.0.2,1514,,,
16.430752000,172.20.0.3,172.20.0.2,1514,,,
16.430753000,172.20.0.3,172.20.0.2,1228,,,4154
16.430753000,172.20.0.3,172.20.0.2,1514,,,
16.430753000,172.20.0.3,172.20.0.2,1514,,,
16.430753000,172.20.0.3,172.20.0.2,1228,,,4154
16.430753000,172.20.0.3,172.20.0.2,1514,,,
16.430753000,172.20.0.3,172.20.0.2,1228,,,
16.430914000,172.20.0.2,172.20.0.3,92,,,58
16.430945000,172.20.0.2,172.20.0.3,92,,,58
16.485753000,172.20.0.3,172.20.0.2,1514,,,
16.485755000,172.20.0.3,172.20.0.2,1228,,,
16.485755000,172.20.0.3,172.20.0.2,1514,,,
16.485755000,172.20.0.3,172.20.0.2,1514,,,
16.485755000,172.20.0.3,172.20.0.2,1228,,,4154
16.485756000,172.20.0.3,172.20.0.2,1514,,,
16.485756000,172.20.0.3,172.20.0.2,1514,,,
16.485756000,172.20.0.3,172.20.0.2,1228,,,4154
16.485756000,172.20.0.3,172.20.0.2,1514,,,
16.485757000,172.20.0.3,172.20.0.2,1514,,,
16.485757000,172.20.0.3,172.20.0.2,1228,,,4154
16.485757000,172.20.0.3,172.20.0.2,1514,,,
16.485758000,172.20.0.3,172.20.0.2,1514,,,
16.485861000,172.20.0.2,172.20.0.3,92,,,58
16.485884000,172.20.0.2,172.20.0.3,92,,,58
16.485899000,172.20.0.2,172.20.0.3,92,,,58
18.433073000,172.20.0.3,172.20.0.2,1514,,,
18.433074000,172.20.0.3,172.20.0.2,1514,,,
18.433074000,172.20.0.3,172.20.0.2,1228,,,4154
18.433240000,172.20.0.2,172.20.0.3,92,,,58
18.488070000,172.20.0.3,172.20.0.2,1514,,,
18.488070000,172.20.0.3,172.20.0.2,1514,,,
18.488071000,172.20.0.3,172.20.0.2,1228,,,4154
18.488071000,172.20.0.3,172.20.0.2,1514,,,
18.488071000,172.20.0.3,172.20.0.2,1514,,,
18.488071000,172.20.0.3,172.20.0.2,1228,,,4154
18.488071000,172.20.0.3,172.20.0.2,1514,,,
18.488071000,172.20.0.3,172.20.0.2,1514,,,
18.488071000,172.20.0.3,172.20.0.2,1228,,,4154
18.488072000,172.20.0.3,172.20.0.2,1514,,,
18.488072000,172.20.0.3,172.20.0.2,1514,,,
18.488072000,172.20.0.3,172.20.0.2,1228,,,4154
18.488072000,172.20.0.3,172.20.0.2,1514,,,
18.488072000,172.20.0.3,172.20.0.2,1514,,,
18.488073000,172.20.0.3,172.20.0.2,1228,,,4154
18.488134000,172.20.0.2,172.20.0.3,92,,,58
18.488153000,172.20.0.2,172.20.0.3,92,,,58
18.488169000,172.20.0.2,172.20.0.3,92,,,58
18.488200000,172.20.0.2,172.20.0.3,92,,,58
18.488223000,172.20.0.2,172.20.0.3,92,,,58
18.543070000,172.20.0.3,172.20.0.2,1514,,,
18.543071000,172.20.0.3,172.20.0.2,1514,,,
18.543071000,172.20.0.3,172.20.0.2,1228,,,4154
18.543071000,172.20.0.3,172.20.0.2,1514,,,
18.543071000,172.20.0.3,172.20.0.2,1514,,,
18.543071000,172.20.0.3,172.20.0.2,1514,,,
18.543071000,172.20.0.3,172.20.0.2,1514,,,
18.543071000,172.20.0.3,172.20.0.2,1228,,,4154
18.543072000,172.20.0.3,172.20.0.2,1514,,,
18.543072000,172.20.0.3,172.20.0.2,1514,,,
18.543072000,172.20.0.3,172.20.0.2,1228,,,4154
18.543072000,172.20.0.3,172.20.0.2,1514,,,
18.543073000,172.20.0.3,172.20.0.2,1514,,,
18.543073000,172.20.0.3,172.20.0.2,1228,,,4154
18.543073000,172.20.0.3,172.20.0.2,1514,,,
18.543073000,172.20.0.3,172.20.0.2,1514,,,
18.543073000,172.20.0.3,172.20.0.2,1228,,,4154
18.543073000,172.20.0.3,172.20.0.2,1514,,,
18.543074000,172.20.0.3,172.20.0.2,1228,,,
18.543074000,172.20.0.3,172.20.0.2,1514,,,
18.543074000,172.20.0.3,172.20.0.2,1228,,,
18.543123000,172.20.0.2,172.20.0.3,92,,,58
18.543176000,172.20.0.2,172.20.0.3,92,,,58
18.543201000,172.20.0.2,172.20.0.3,92,,,58
18.543225000,172.20.0.2,172.20.0.3,92,,,58
18.543248000,172.20.0.2,172.20.0.3,92,,,58
18.598075000,172.20.0.3,172.20.0.2,1514,,,
18.598077000,172.20.0.3,172.20.0.2,1514,,,
18.598077000,172.20.0.3,172.20.0.2,1228,,,4154
18.598207000,172.20.0.2,172.20.0.3,92,,,58
20.549072000,172.20.0.3,172.20.0.2,1514,,,
20.549074000,172.20.0.3,172.20.0.2,1514,,,
